[18-Mar-2026 22:45:25 UTC] PHP Warning:  Undefined array key "host" in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/pluggable.php on line 1721
[18-Mar-2026 23:01:56 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[19-Mar-2026 00:19:13 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 95
[19-Mar-2026 00:19:13 UTC] PHP Fatal error:  Out of memory (allocated 35651584 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/sodium_compat/src/Core/Util.php on line 12
[19-Mar-2026 00:19:15 UTC] PHP Fatal error:  Out of memory (allocated 33554432 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 317
[19-Mar-2026 00:19:15 UTC] PHP Fatal error:  Out of memory (allocated 33554432 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[19-Mar-2026 00:19:17 UTC] PHP Fatal error:  Out of memory (allocated 33554432 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/product-categories.php on line 125
[19-Mar-2026 00:19:17 UTC] PHP Fatal error:  Out of memory (allocated 33554432 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[19-Mar-2026 00:19:18 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/product-categories.php on line 125
[19-Mar-2026 00:19:18 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-includes/Requests/src/Cookie/Jar.php on line 32
[19-Mar-2026 00:19:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 317
[19-Mar-2026 00:19:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 131072 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/languages/admin-en_CA.l10n.php on line 2
[19-Mar-2026 00:19:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 95
[19-Mar-2026 00:19:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 131072 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/languages/admin-en_CA.l10n.php on line 2
[19-Mar-2026 00:19:20 UTC] PHP Fatal error:  Out of memory (allocated 31457280 bytes) (tried to allocate 2097152 bytes) in /workspaces/ux308isaacux-Assignment2/.wordpress/wp-content/plugins/ecommerce-product-catalog/includes/register-product.php on line 95
